Id,Start time,Completion time,Email,Name,"Which high school curriculum did you follow?
","If you studied the UAE Curriculum, which track did you follow?
",Which subjects did you study in high school? (Select all that apply),What was your IELTS/TOEFL score?,Which field interests you the most?,What type of career do you envision?,"Do you prefer a technical, creative, or business-oriented role?
","Would you like to work in a research, corporate, startup, or freelance environment?",How important is job stability in your career choice?,Do you prefer working with people or working with technology?,"Do you enjoy working on structured tasks with clear guidelines?
","Do you enjoy hands-on work (e.g., lab experiments, building things)?
","Do you prefer theoretical learning, practical work, or a mix of both?
",Would you rather work on individual projects or team-based assignments?,"Do you prefer exams, projects, or research-based assessments?",How comfortable are you with subjects like math and science?,"Are you looking for a flexible program where you can specialize later?
","Would you prefer a structured degree (e.g., Computer Science, Biotech- nology) or one with multiple pathways (e.g., Business, Media)?",Would you like a program with strong industry connections and internship opportunities?,"Do you see yourself working in an office, lab, outdoors, or remotely?
",Do you want a job with a predictable routine or a dynamic work environ- ment?,How important is global career mobility for you?,Do you want a career that allows remote work?,best_fit
1,1/31/2025 16:48,1/31/2025 16:49,anonymous,,UAE Curriculum,Scientific,Math;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Science,Freelancer / Independent worker,Technical,Startup,Somewhat important,Mostly with people,Yes,Yes,Theoretical,Mostly team-based,Exams,Neutral,Yes,Flexible,No,Office,Somewhat predictable,Not important,No,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
2,1/31/2025 16:48,1/31/2025 16:49,anonymous,,UAE Curriculum,Scientific,Biology;Math;Media;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Freelancer / Independent worker,Creative,Freelance,Somewhat important,Mostly with technology,Yes,Yes,Practical,Mostly team-based,Projects,Very comfortable,Yes,Structured,No,Remote,Neutral,Important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
3,1/31/2025 16:48,1/31/2025 16:50,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Math;Computer Science;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Arts,Freelancer / Independent worker,Creative,Corporate,Neutral,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Flexible,Yes,Remote,Very predictable,Somewhat important,Yes,BACHELOR OF ARTS IN MASS COMMUNICATION
4,1/31/2025 16:51,1/31/2025 16:53,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Engineering,Researcher,Creative,Research,Neutral,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,No,Flexible,Yes,Lab,Neutral,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
5,1/31/2025 16:51,1/31/2025 16:54,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Corporate professional,Creative,Corporate,Very Important,A mix of both,Yes,No,A mix of both,A mix of both,Projects,Very comfortable,No,Flexible,Yes,Office,Somewhat dynamic,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
6,1/31/2025 16:55,1/31/2025 16:56,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Math;Computer Science;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Engineering,Entrepreneur / Startup founder,Technical,Research,Important,Mostly with technology,No,,A mix of both,A mix of both,Projects,Neutral,Yes,Structured,Yes,Lab,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
7,1/31/2025 16:55,1/31/2025 16:57,anonymous,,UAE Curriculum,Scientific,Chemistry;Physics;Biology;Math;Business;Arts;Media;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Researcher,Creative,Corporate,Neutral,A mix of both,Yes,Yes,A mix of both,Mostly individual,Projects,Neutral,Yes,Flexible,Yes,Office,Neutral,Somewhat important,Yes,BACHELOR OF SCIENCE IN ARTIFICIAL INTELLIGENCE
8,1/31/2025 16:57,1/31/2025 16:58,anonymous,,UAE Curriculum,Scientific,Chemistry;Biology;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Business,Corporate professional,Technical,Corporate,Somewhat important,Mostly with technology,Yes,No,Practical,Mostly team-based,Projects,Somewhat uncomfortable,Yes,Structured,Yes,Office,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
9,1/31/2025 16:58,1/31/2025 16:58,anonymous,,UAE Curriculum,Literary,Biology;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Engineering,Entrepreneur / Startup founder,Creative,Corporate,Somewhat important,Mostly with technology,Yes,Yes,A mix of both,A mix of both,Exams,Somewhat uncomfortable,Yes,Structured,Yes,Lab,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
10,1/31/2025 16:59,1/31/2025 16:59,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Arts,Entrepreneur / Startup founder,Creative,Research,Somewhat important,Mostly with technology,Yes,Yes,Practical,Mostly team-based,Research,Somewhat comfortable,Yes,Structured,Yes,Outdoors,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
