"Which high school curriculum did you follow?
","If you studied the UAE Curriculum, which track did you follow?
",Which subjects did you study in high school? (Select all that apply),What was your IELTS/TOEFL score?,What type of career do you envision?,"Do you prefer a technical, creative, or business-oriented role?
","Would you like to work in a research, corporate, startup, or freelance environment?",How important is job stability in your career choice?,Do you prefer working with people or working with technology?,"Do you enjoy working on structured tasks with clear guidelines?
","Do you enjoy hands-on work (e.g., lab experiments, building things)?
","Do you prefer theoretical learning, practical work, or a mix of both?
",Would you rather work on individual projects or team-based assignments?,"Do you prefer exams, projects, or research-based assessments?",How comfortable are you with subjects like math and science?,"Are you looking for a flexible program where you can specialize later?
","Would you prefer a structured degree (e.g., Computer Science, Biotech- nology) or one with multiple pathways (e.g., Business, Media)?",Would you like a program with strong industry connections and internship opportunities?,"Do you see yourself working in an office, lab, outdoors, or remotely?
",Do you want a job with a predictable routine or a dynamic work environ- ment?,How important is global career mobility for you?,Do you want a career that allows remote work?
UAE Curriculum,Scientific,Physics;Biology;Chemistry;Math;Computer Science;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Researcher,Creative,Corporate,Somewhat important,Mostly with technology,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Structured,Yes,Office,Somewhat predictable,Somewhat important,Yes
UAE Curriculum,Literary,Physics;Chemistry;Biology;Math;Business;Arts;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Entrepreneur / Startup founder,Creative,Corporate,Neutral,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Somewhat comfortable,Yes,Flexible,Yes,Office,Neutral,Somewhat important,Yes
UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Freelancer / Independent worker,Business-oriented,Freelance,Important,A mix of both,Yes,Yes,Practical,Mostly individual,Exams,Very comfortable,Yes,Structured,No,Outdoors,Somewhat dynamic,Important,No
UAE Curriculum,Literary,Physics;Chemistry;Biology;Math;Computer Science;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Freelancer / Independent worker,Technical,Startup,Very Important,A mix of both,Yes,Yes,A mix of both,Mostly team-based,Projects,Somewhat comfortable,No,Flexible,Yes,Office,Somewhat predictable,Important,No
UAE Curriculum,Scientific,Biology;Physics;Chemistry,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Entrepreneur / Startup founder,Business-oriented,Corporate,Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Somewhat comfortable,Yes,Structured,Yes,Office,Somewhat dynamic,Important,Yes
UAE Curriculum,Scientific,Chemistry;Physics;Biology;Math;Business;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Researcher,Technical,Research,Very Important,A mix of both,Yes,Yes,A mix of both,Mostly individual,Exams,Somewhat comfortable,Yes,Structured,Yes,Lab,Very predictable,Somewhat important,Yes
UAE Curriculum,Scientific,Physics;Business;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Entrepreneur / Startup founder,Creative,Startup,Neutral,A mix of both,Yes,Yes,A mix of both,Mostly team-based,Projects,Somewhat comfortable,No,Flexible,No,Lab,Very predictable,Not important,Yes
UAE Curriculum,Literary,Chemistry;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Corporate professional,Technical,Corporate,Important,Mostly with technology,No,Yes,Practical,Mostly team-based,Research,Somewhat uncomfortable,Yes,Flexible,Yes,Lab,Neutral,Important,Yes
UAE Curriculum,Scientific,Physics;Chemistry;Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Corporate professional,Creative,Corporate,Somewhat important,Mostly with technology,Yes,Yes,Theoretical,Mostly team-based,Projects,Somewhat uncomfortable,Yes,Structured,No,Outdoors,Somewhat dynamic,Very important,Yes
UAE Curriculum,Literary,None,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Freelancer / Independent worker,Technical,Research,Important,Mostly with people,Yes,Yes,A mix of both,Mostly team-based,Research,Very comfortable,No,Structured,Yes,Office,Neutral,Somewhat important,No
